Name,Address
"Tamarind Café, North Goa",Varchawadda Arambol
"La Plage, North Goa","Aswem Beach, Arambol, North Goa"
"Bhatti Village, North Goa","Bhatti Waddo, Nerul, North Goa"
"Thalassa, North Goa","Ozran Beach, Vagator, North Goa"
"Spice Goa, North Goa","Satt-Adhar Complex, Mapusa, North Goa"
"Burger Factory, North Goa","Anjuna Main Road, Anjuna, North Goa"
"Brittos Bar, North Goa","Bardez, Baga, North Goa"
"Pousada by the Beach, North Goa","Gaura Vaddo, Calangute Beach, North Goa"
"Zeebop by the Sea, South Goa","Utorda Beach, Majorda, South Goa"
" The Space Goa, South Goa","Canacona, Palolem, South Goa"
"Martin’s Corner, South Goa","Ranvaddo, Salcete, Betalbatim, South Goa"
"Dropadi, South Goa","Palolem Beach, South Goa"
"Magic Italy, South Goa","Palolem Road, Palolem, South Goa"
"The Fisherman’s Wharf, South Goa","Mobor, Cavelossim, South Goa"
"Nostalgia, South Goa","Raia, Margao, South Goa"
